Rk,Player,Pos,Age,Tm,MP,FG,FGA,FT,FTA,PF,PTS
432,Mirza Teletovic,PF,29,BRK,892,122,319,33,46,74,339
309,Mitch McGary,PF,22,OKC,485,88,165,25,40,72,201
480,Mo Williams,PG,32,CHO,831,161,413,83,93,59,465
142,Monta Ellis,SG,29,DAL,2699,602,1354,228,303,197,1513
388,Nate Robinson,PG,30,LAC,126,17,51,5,6,8,46
484,Nate Wolters,PG,23,NOP,105,8,26,1,2,7,17
326,Nazr Mohammed,C,37,CHI,128,13,30,1,3,16,27
213,Nene Hilario,PF,32,WAS,1693,307,601,122,202,180,737
344,Nerlens Noel,C,20,PHI,2311,302,653,140,230,208,744
79,Nick Calathes,SG,25,MEM,838,104,247,24,45,100,243
99,Nick Collison,PF,34,OKC,1101,106,253,45,65,156,273
247,Nick Johnson,SG,22,HOU,262,26,75,17,25,34,74
489,Nick Young,SG,29,LAL,1000,174,476,132,148,83,563
37,Nicolas Batum,SF,26,POR,2380,240,600,84,98,106,664
422,Nik Stauskas,SG,21,SAC,1127,108,296,55,64,92,319
325,Nikola Mirotic,PF,23,CHI,1654,253,624,228,284,172,833
364,Nikola Pekovic,C,29,MIN,815,139,328,108,129,59,386
457,Nikola Vucevic,C,24,ORL,2529,631,1206,164,218,220,1428
456,Noah Vonleh,PF,19,CHO,259,30,76,18,26,20,83
97,Norris Cole,PG,26,NOP,683,112,252,26,35,49,278
302,O.J. Mayo,SG,27,MIL,1697,296,701,115,139,165,806
268,Ognjen Kuzmic,C,24,GSW,72,8,12,4,4,13,20
24,Omer Asik,C,28,NOP,1982,213,412,131,225,144,557
87,Omri Casspi,SF,26,SAC,1416,209,427,140,191,107,593
370,Otto Porter,SF,21,WAS,1432,176,391,58,79,97,445
192,P.J. Hairston,SG,22,CHO,687,87,269,31,36,61,254
446,P.J. Tucker,SF,29,PHO,2383,261,596,104,143,179,713
375,Pablo Prigioni,PG,37,HOU,402,23,67,13,15,35,73
46,Patrick Beverley,PG,26,HOU,1727,204,532,45,60,182,568
92,Patrick Christopher,SG,26,UTA,29,3,12,0,0,6,6
322,Patrick Mills,PG,26,SAS,801,128,336,33,40,58,351
360,Patrick Patterson,PF,25,TOR,2156,240,535,63,80,149,648
167,Pau Gasol,PF,34,CHI,2681,570,1153,294,366,147,1446
170,Paul George,SF,24,IND,91,18,49,8,11,11,53
324,Paul Millsap,PF,29,ATL,2390,443,930,255,337,201,1218
366,Paul Pierce,SF,37,WAS,1914,293,656,164,210,160,868
21,Pero Antic,PF,32,ATL,1037,108,296,88,123,132,356
252,Perry Jones,SF,23,OKC,631,73,184,24,37,50,184
372,Phil Pressey,PG,23,BOS,600,64,174,33,49,54,177
1,Quincy Acy,PF,24,NYK,1287,152,331,76,97,147,398
321,Quincy Miller,PF,22,DET,58,5,20,0,0,5,12
369,Quincy Pondexter,SF,26,NOP,1253,140,312,50,66,103,404
391,Rajon Rondo,PG,28,DAL,1319,194,445,19,42,111,426
406,Ramon Sessions,PG,28,WAS,546,62,151,69,85,28,206
156,Randy Foye,SG,31,DEN,1087,148,402,45,55,97,435
75,Rasual Butler,SF,35,WAS,1505,218,517,53,67,98,580
305,Ray McCallum,PG,23,SAC,1436,206,470,57,84,92,503
153,Raymond Felton,PG,30,DAL,281,43,106,12,15,17,108
70,Reggie Bullock,SF,23,PHO,75,1,16,2,4,2,4
